Date,App_Name,Category,Minutes_Used
2026-07-20,VS Code,Coding,128
2026-07-20,Coursera,Education,78
2026-07-20,X,Social Media,41
2026-07-20,Prime Video,Entertainment,68
2026-07-20,WhatsApp,Communication,46
2026-07-20,Spotify,Music,30
2026-07-20,Notion,Productivity,34
2026-07-21,IntelliJ IDEA,Coding,237
2026-07-21,Coursera,Education,73
2026-07-21,X,Social Media,39
2026-07-21,Netflix,Entertainment,76
2026-07-21,WhatsApp,Communication,60
2026-07-21,Spotify,Music,33
2026-07-21,Notion,Productivity,33
2026-07-22,VS Code,Coding,207
2026-07-22,ChatGPT,Education,91
2026-07-22,X,Social Media,58
2026-07-22,YouTube,Entertainment,66
2026-07-22,WhatsApp,Communication,52
2026-07-22,Spotify,Music,10
2026-07-22,Notion,Productivity,50
2026-07-23,VS Code,Coding,152
2026-07-23,Coursera,Education,83
2026-07-23,X,Social Media,45
2026-07-23,Netflix,Entertainment,30
2026-07-23,Gmail,Communication,44
2026-07-23,Spotify,Music,40
2026-07-23,Notion,Productivity,47
2026-07-24,VS Code,Coding,207
2026-07-24,Chrome,Education,95
2026-07-24,X,Social Media,57
2026-07-24,YouTube,Entertainment,38
2026-07-24,WhatsApp,Communication,31
2026-07-24,Spotify,Music,31
2026-07-24,Notion,Productivity,21
2026-07-25,GitHub Desktop,Coding,74
2026-07-25,ChatGPT,Education,22
2026-07-25,Facebook,Social Media,144
2026-07-25,YouTube,Entertainment,173
2026-07-25,Gmail,Communication,63
2026-07-25,Spotify,Music,68
2026-07-25,Google Calendar,Productivity,36
2026-07-26,IntelliJ IDEA,Coding,80
2026-07-26,ChatGPT,Education,45
2026-07-26,Facebook,Social Media,155
2026-07-26,Netflix,Entertainment,184
2026-07-26,Gmail,Communication,48
2026-07-26,Spotify,Music,68
2026-07-26,Google Calendar,Productivity,18
2026-07-27,IntelliJ IDEA,Coding,121
2026-07-27,Chrome,Education,54
2026-07-27,Instagram,Social Media,53
2026-07-27,Netflix,Entertainment,42
2026-07-27,Gmail,Communication,24
2026-07-27,Spotify,Music,18
2026-07-27,Notion,Productivity,31
2026-07-28,GitHub Desktop,Coding,122
2026-07-28,Coursera,Education,43
2026-07-28,Facebook,Social Media,28
2026-07-28,Prime Video,Entertainment,54
2026-07-28,Gmail,Communication,25
2026-07-28,Spotify,Music,31
2026-07-28,Google Calendar,Productivity,35
2026-07-29,GitHub Desktop,Coding,138
2026-07-29,Coursera,Education,52
2026-07-29,Instagram,Social Media,58
2026-07-29,Prime Video,Entertainment,30
2026-07-29,WhatsApp,Communication,55
2026-07-29,Spotify,Music,14
2026-07-29,Notion,Productivity,37
2026-07-30,VS Code,Coding,134
2026-07-30,Chrome,Education,52
2026-07-30,X,Social Media,69
2026-07-30,Netflix,Entertainment,41
2026-07-30,Gmail,Communication,44
2026-07-30,Spotify,Music,16
2026-07-30,Notion,Productivity,39
2026-07-31,VS Code,Coding,224
2026-07-31,ChatGPT,Education,42
2026-07-31,Facebook,Social Media,43
2026-07-31,Netflix,Entertainment,57
2026-07-31,Gmail,Communication,55
2026-07-31,Spotify,Music,33
2026-07-31,Notion,Productivity,46
2026-08-01,GitHub Desktop,Coding,66
2026-08-01,ChatGPT,Education,34
2026-08-01,Facebook,Social Media,101
2026-08-01,Netflix,Entertainment,183
2026-08-01,Gmail,Communication,60
2026-08-01,Spotify,Music,55
2026-08-01,Google Calendar,Productivity,10
2026-08-02,VS Code,Coding,44
2026-08-02,Chrome,Education,36
2026-08-02,X,Social Media,136
2026-08-02,Prime Video,Entertainment,180
2026-08-02,Gmail,Communication,74
2026-08-02,Spotify,Music,50
2026-08-02,Notion,Productivity,11
